,City Name,Latitude,Longitude,Temperature,Latitude Humidity,Cloudiness,Wind Speed
163,punta arenas,-55.67727069266476,-84.47607614112039,60.8,41.0,0.0,23.02
164,thompson,60.22020720523818,-96.45639630593448,-16.6,69.0,90.0,12.66
166,ostrovnoy,71.17904115581459,39.555003574175686,8.35,93.0,100.0,13.13
167,erenhot,43.60561072018041,110.94143847633995,15.82,91.0,50.0,6.06
168,adrar,26.230627536887397,-2.0963093983942542,82.4,11.0,100.0,13.87
169,cape town,-75.8125032727797,-14.373812309589255,73.63,46.0,0.0,32.21
170,bluff,-83.79628604432781,162.81370509960095,57.0,84.0,64.0,18.01
171,knyaze-volkonskoye,48.3972735577824,135.818603590696,14.0,44.0,0.0,20.13
172,bambous virieux,-28.218649849003157,67.17887532031563,78.89,74.0,40.0,6.91
173,punta arenas,-78.90090455822117,-107.14098252238827,60.8,41.0,0.0,23.02
174,mar del plata,-71.80736936154753,-19.980981482351837,80.6,74.0,0.0,8.05
175,ushuaia,-79.34433212324839,-71.53965208451152,59.0,47.0,75.0,17.27
177,vardo,83.92765247016317,33.87522796586197,16.7,86.0,75.0,20.71
178,botwood,48.88421281466546,-55.33499501348844,23.0,80.0,5.0,14.38
179,ushuaia,-88.6519112554345,-61.02736328031283,59.0,47.0,75.0,17.27
181,albany,-67.11869337662017,113.05940125391027,10.26,49.0,0.0,18.01
182,sorland,71.34378608078157,5.298953844950404,24.8,74.0,75.0,5.75
183,touros,0.7983957845441836,-24.837557699616212,84.2,65.0,75.0,13.8
184,cidreira,-42.87097765086662,-35.26962694202342,81.81,64.0,0.0,4.94
186,misratah,34.1651998381321,17.31958304338795,66.24,39.0,82.0,7.02
187,omboue,-6.0758206683887295,2.9800489526285787,84.0,70.0,98.0,9.78
188,kapaa,23.988925461684957,-168.79538672005975,73.74,88.0,75.0,21.85
190,necochea,-45.11618475795677,-56.5974530986159,91.33,31.0,0.0,5.28
191,zelenogorskiy,54.717321534012456,87.13268724651033,-20.2,83.0,75.0,6.71
192,comodoro rivadavia,-47.70465596534581,-64.96566823547754,69.8,56.0,0.0,8.05
193,kautokeino,69.42855462506066,22.820789701966277,-10.46,89.0,96.0,3.36
194,constitucion,24.72363750541284,-113.59341097277446,66.4,69.0,45.0,4.52
195,constitucion,23.0620288592512,-115.07740986366282,66.4,69.0,45.0,4.52
196,port alfred,-73.47903651388076,44.65661353869328,69.21,66.0,93.0,13.33
197,tuktoyaktuk,88.37036903967896,-117.412872751652,-11.4,87.0,96.0,6.98
198,arraial do cabo,-47.33626025023366,-22.96465443875067,84.2,61.0,75.0,19.57
199,chokurdakh,85.57726680976592,150.690300571161,-32.62,83.0,100.0,11.25
200,punta arenas,-80.02427628742545,-115.71465641100518,60.8,41.0,0.0,23.02
201,kojnare,43.28790810585403,24.180284003967927,62.6,27.0,40.0,11.5
202,barrow,80.37556349585446,-146.5752188011184,-0.4,78.0,1.0,20.71
203,airai,19.05341801075427,139.67026850599575,62.02,100.0,100.0,1.97
204,bredasdorp,-89.81358147599155,16.26911079111332,69.8,49.0,75.0,13.8
205,walvis bay,-23.64518050885367,13.835241611940603,78.8,61.0,75.0,8.05
206,barrow,88.09403138843939,-144.12858291380093,-0.4,78.0,1.0,20.71
207,puerto ayora,-6.53412234822261,-108.00433870965708,75.99,95.0,16.0,1.99
208,taoudenni,21.26937106195294,-1.7329990072345254,86.41,11.0,0.0,11.56
209,kloulklubed,7.373064750832256,133.89467773627433,80.6,83.0,75.0,10.36
210,constitucion,23.969998219068415,-114.90344849439533,66.4,69.0,45.0,4.52
211,kumluca,36.256864662855506,30.732136850657582,53.33,79.0,100.0,4.81
212,barrow,71.15517284800623,-162.68831116717212,-0.4,78.0,1.0,20.71
213,barrow,88.39291290704486,-156.45449998819515,-0.4,78.0,1.0,20.71
214,bluff,-78.92253883618022,170.606879851217,57.0,84.0,64.0,18.01
215,yellowknife,65.2093887293903,-117.48030020771347,-19.32,76.0,90.0,5.75
216,arkhangelsk,66.33935771660563,40.46092604650286,28.4,93.0,90.0,2.24
217,busselton,-54.241086716701965,100.70629089694535,60.94,79.0,0.0,8.43
218,faya,23.09242535736331,19.66406493305513,69.8,49.0,0.0,13.8
219,avarua,-38.30850218597173,-159.27851002111714,82.4,69.0,20.0,12.66
220,liptovsky hradok,49.1188654954795,19.751667518676072,38.41,65.0,20.0,23.02
222,busselton,-36.915566298344245,111.30374570153293,60.94,79.0,0.0,8.43
223,thompson,53.55938536737159,-96.99371930974702,-16.6,69.0,90.0,12.66
224,albany,-60.21690122909665,122.45757180477739,10.26,49.0,0.0,18.01
225,reconquista,-29.504930225860818,-60.375713714746425,91.62,48.0,0.0,8.19
226,maniitsoq,61.441605816341394,-57.679120715632024,15.87,77.0,45.0,7.34
227,mapastepec,14.809307228943325,-93.24854482597803,77.83,55.0,7.0,2.66
228,viransehir,36.90432966499131,39.75265594060599,42.87,62.0,50.0,7.67
229,bluff,-73.91412160664777,165.6639741606914,57.0,84.0,64.0,18.01
230,khatanga,73.7087025624364,102.37655912059972,-20.4,87.0,100.0,10.47
232,port alfred,-61.60306204517044,42.72433820497898,69.21,66.0,93.0,13.33
233,busselton,-46.382946951651796,107.48204437601942,60.94,79.0,0.0,8.43
234,huambo,-13.118073112912185,16.38705968836564,82.4,32.0,40.0,11.5
235,mataura,-75.16606282083008,-146.68766275166573,57.0,84.0,48.0,18.01
236,geraldton,-29.003994689083477,110.7225666901465,70.32,67.0,28.0,12.95
238,jamestown,-24.160966115342347,-19.73332652095445,15.91,86.0,90.0,2.53
239,port lincoln,-41.240207775219915,132.3102405311683,77.32,48.0,99.0,5.53
240,iqaluit,65.5890408702144,-72.89950050149433,1.4,78.0,40.0,16.11
241,mandalgovi,45.34922738469817,105.08276853914782,16.2,91.0,100.0,12.73
242,torbay,46.43004881447882,-47.4244148977981,29.35,74.0,20.0,10.36
243,khatanga,78.3184581511805,95.19190573861033,-20.4,87.0,100.0,10.47
244,georgetown,-13.335227006133906,-15.251479765539415,83.25,70.0,20.0,8.05
245,kodiak,54.378238789469975,-152.421511812331,37.4,52.0,1.0,34.52
246,tubuala,11.089813594240809,-79.18299491075989,72.03,83.0,40.0,5.75
247,saskylakh,75.7404412735539,115.51045316258956,-36.87,79.0,1.0,5.95
249,cherskiy,73.11529470036874,160.48953681681144,-24.84,86.0,100.0,7.81
250,mataura,-83.0340389670617,-149.2840015441364,57.0,84.0,48.0,18.01
251,hobart,-68.07773336261492,140.66035101354663,64.35,88.0,74.0,2.95
252,nouadhibou,20.889779211614112,-17.791740977235094,80.6,28.0,100.0,10.36
253,hadgaon,19.437248908260685,77.93648518909026,77.04,26.0,0.0,2.35
254,lebu,-35.71584803373218,-83.60884777984654,61.66,75.0,18.0,11.95
255,kodiak,55.43950134863309,-150.7828279284137,37.4,52.0,1.0,34.52
256,arraial do cabo,-32.135972624387,-33.61622175231159,84.2,61.0,75.0,19.57
257,albany,-78.75022639394109,118.44701154046334,10.26,49.0,0.0,18.01
258,ushuaia,-74.70497917483593,-22.92599317052384,59.0,47.0,75.0,17.27
259,tasiilaq,74.01184120421857,-39.81794798077971,10.4,52.0,0.0,2.3
260,rabo de peixe,43.179361330632986,-23.21551372025118,62.6,94.0,40.0,17.27
261,talnakh,75.34339511645987,89.82365786291456,-30.19,74.0,95.0,2.75
262,batagay-alyta,65.82345505207692,130.72332596537944,-40.38,77.0,35.0,1.05
263,saint george,32.239135538243346,-64.39448756236703,30.2,93.0,1.0,2.15
264,port alfred,-66.67882536247672,38.530997334533936,69.21,66.0,93.0,13.33
265,pacific grove,28.12371610023328,-136.40583615919496,47.93,87.0,90.0,3.44
266,ushuaia,-54.382438301712156,-64.97377509301512,59.0,47.0,75.0,17.27
267,hobart,-43.06923365119339,148.1746605178949,64.35,88.0,74.0,2.95
268,severo-kurilsk,47.49613461576649,159.96742124055288,16.81,89.0,100.0,8.99
269,busselton,-58.36952793015736,102.24793387211503,60.94,79.0,0.0,8.43
270,butaritari,26.04402821102599,166.34059089284642,79.11,81.0,27.0,12.68
271,ushuaia,-64.06746132192053,-53.275559794322916,59.0,47.0,75.0,17.27
272,nivala,63.803192254798034,24.82680887752818,32.0,96.0,99.0,1.01
273,rikitea,-19.00202633411581,-114.974874752164,79.21,65.0,95.0,6.87
274,hithadhoo,-5.591281029822696,75.5455456350773,82.76,68.0,77.0,3.94
275,nelson bay,-36.26434485495479,157.87593777900486,72.27,78.0,77.0,9.22
276,bay roberts,44.75015395985929,-53.55723859708168,29.41,79.0,79.0,1.01
277,mataura,-32.52842504172504,-151.42479823722527,57.0,84.0,48.0,18.01
279,mataura,-87.1335099487665,-152.52211316904504,57.0,84.0,48.0,18.01
280,ushuaia,-81.21193527158621,-37.85180725074338,59.0,47.0,75.0,17.27
282,qaanaaq,76.62918201735204,-70.86430165044996,9.97,78.0,0.0,3.89
284,lagoa,48.35569515707533,-29.973531759957666,61.75,89.0,100.0,23.69
286,ahuimanu,28.922503909713456,-155.2727589393977,72.97,73.0,40.0,10.36
288,vaini,-78.6001778338453,-176.04246803413847,71.6,100.0,75.0,2.3
289,wewak,-0.8376778303937442,144.14661554943433,80.38,79.0,100.0,5.28
290,kaitangata,-50.44912597463669,169.96823401362047,55.0,76.0,28.0,4.0
291,copainala,16.996622271141902,-93.26765341602871,60.8,94.0,1.0,3.44
292,vostok,48.6934395852318,149.2404759240036,3.87,95.0,61.0,3.29
293,tuktoyaktuk,73.79456823169491,-129.8674042939083,-11.4,87.0,96.0,6.98
294,vaini,-49.96957633859349,-171.06145367449707,71.6,100.0,75.0,2.3
295,saint george,28.786308127801846,-47.67976485172068,30.2,93.0,1.0,2.15
296,henties bay,-24.42694478859481,4.491345439954273,71.15,82.0,98.0,7.74
297,busselton,-61.40269908449025,91.12933131412166,60.94,79.0,0.0,8.43
298,zhongshu,24.207050193434682,104.04077927988266,51.3,76.0,0.0,8.57
299,arraial do cabo,-42.06505184503802,-22.965440805411504,84.2,61.0,75.0,19.57
300,arraial do cabo,-29.72399859765141,-32.98128574893303,84.2,61.0,75.0,19.57
301,kodiak,50.22475409018597,-151.47380390025236,37.4,52.0,1.0,34.52
302,jamestown,-40.83201661643426,-10.193124520012503,15.91,86.0,90.0,2.53
303,busselton,-78.40515499658787,87.52955331830424,60.94,79.0,0.0,8.43
304,hermiston,45.647120827055915,-119.59445635664734,27.97,93.0,1.0,0.31
305,ribeira grande,33.174619932862626,-39.73959013113614,64.4,88.0,75.0,14.97
306,saldanha,-36.13186834763029,9.50882769278573,77.0,36.0,0.0,24.16
307,georgetown,-4.219469620057964,-13.850742392212709,83.25,70.0,20.0,8.05
308,hilo,17.304944387217105,-156.5324587488858,64.45,77.0,1.0,8.05
309,baykit,62.46951904928844,95.31199001717005,-26.39,80.0,100.0,2.48
310,arraial do cabo,-25.320782532932526,-41.20605121188237,84.2,61.0,75.0,19.57
311,killybegs,57.071017829745955,-9.428545868285,36.82,80.0,0.0,5.75
312,ushuaia,-62.62681422563659,-49.566679794186,59.0,47.0,75.0,17.27
313,pevek,79.39099097525079,167.93636572442404,-20.63,88.0,78.0,4.76
314,springfield,28.76518256923329,-85.77436486514706,35.78,100.0,90.0,6.91
315,kodiak,50.25105499820373,-147.22340362457084,37.4,52.0,1.0,34.52
316,rikitea,-65.2357557397115,-127.3413658028669,79.21,65.0,95.0,6.87
317,puerto ayora,-9.139347755103373,-109.06711106923238,75.99,95.0,16.0,1.99
318,port blair,10.229295766138932,87.59482074394754,77.76,68.0,39.0,10.2
319,bluff,-66.11217210336491,155.28097325345266,57.0,84.0,64.0,18.01
320,yar-sale,70.58455383461029,69.34898300288864,-38.96,80.0,27.0,8.93
321,hermanus,-76.49236598836276,1.848134539199691,73.99,53.0,8.0,8.01
323,rikitea,-21.95935254573847,-123.13828663579197,79.21,65.0,95.0,6.87
324,atuona,-3.156262453625601,-148.97375576114075,77.32,78.0,10.0,16.37
326,nanakuli,11.232767076978632,-164.68091656130576,72.77,73.0,20.0,13.8
327,mataura,-82.00047217516496,-167.11396686140753,57.0,84.0,48.0,18.01
328,erzin,46.75732468396134,95.60795551363992,59.0,43.0,88.0,5.79
329,gao,17.00052662895017,-0.47606121812543734,86.88,10.0,27.0,9.33
330,salalah,11.143923885615052,58.5386136909639,77.0,47.0,0.0,9.22
331,jamestown,-28.00501797528411,-6.824943624928665,15.91,86.0,90.0,2.53
332,coquimbo,-25.802205360540384,-84.77110167381277,64.4,82.0,75.0,4.61
333,dunedin,-54.461480832310556,179.48335487016857,55.99,85.0,60.0,4.0
334,kapaa,38.378646251278184,-160.93260091911773,73.74,88.0,75.0,21.85
335,provideniya,54.9093645046718,-175.1981245093965,4.93,84.0,2.0,4.25
336,kalabagh,33.04073019648152,71.74530326752568,51.93,36.0,0.0,0.45
338,kapaa,12.753030702457096,-179.0461336409998,73.74,88.0,75.0,21.85
339,mataura,-68.25678157019846,-153.79875543218589,57.0,84.0,48.0,18.01
341,ponta do sol,33.04429694041043,-21.445042024691077,64.63,72.0,20.0,4.61
342,bluff,-71.2329737213048,173.10043340810222,57.0,84.0,64.0,18.01
343,fortuna,38.14270332632037,-141.89138910032943,43.54,93.0,90.0,1.63
344,mataura,-80.4521930699353,-144.15488382875256,57.0,84.0,48.0,18.01
345,barranca,-3.2250878026732153,-76.1226123611598,75.15,64.0,6.0,6.35
346,cabo san lucas,15.791763219318412,-116.95532768884779,59.31,77.0,1.0,10.36
347,mataura,-86.92424367477321,-166.171798858991,57.0,84.0,48.0,18.01
348,new norfolk,-74.60598527459655,125.40502397442333,64.99,67.0,49.0,1.52
349,thompson,76.525201782512,-94.48649231171525,-16.6,69.0,90.0,12.66
350,qaanaaq,84.52361582899772,-66.38513673463179,9.97,78.0,0.0,3.89
351,arraial do cabo,-37.32017234740206,-21.870255899591598,84.2,61.0,75.0,19.57
352,kodiak,52.70357325447526,-144.59331985596782,37.4,52.0,1.0,34.52
354,avarua,-49.78434856336769,-160.55132517838132,82.4,69.0,20.0,12.66
355,puerto ayora,-11.05581591206439,-105.07350857290194,75.99,95.0,16.0,1.99
356,torbay,33.13067696294978,-44.566915651363814,29.35,74.0,20.0,10.36
357,gushi,32.129280388025634,115.64000860188543,40.06,91.0,100.0,5.79
358,gambela,8.76348876778772,33.3861603777184,98.67,22.0,100.0,4.7
359,faanui,-0.6773794209341872,-158.54605143485136,80.96,71.0,44.0,12.75
360,broome,-14.840745746708208,124.09383471666297,11.79,72.0,90.0,12.66
361,longyearbyen,88.89676339317461,25.236872397737898,15.8,67.0,75.0,13.8
363,thompson,75.87945731988111,-91.12339818535932,-16.6,69.0,90.0,12.66
365,kodiak,43.04509761562656,-146.6290159044317,37.4,52.0,1.0,34.52
366,hermanus,-79.69206515259293,8.24435068781284,73.99,53.0,8.0,8.01
368,kaitangata,-67.04761888715024,176.5073905243167,55.0,76.0,28.0,4.0
369,vaini,-69.25963977879647,-173.07811282761767,71.6,100.0,75.0,2.3
370,bluff,-65.43538740292628,162.21875505032563,57.0,84.0,64.0,18.01
371,upernavik,77.76476619108968,-59.66829525305266,16.63,91.0,0.0,13.38
372,tiksi,78.55944167295283,124.38162889020111,-42.5,79.0,36.0,7.31
373,jamestown,-25.17631436501982,-0.8226145826244533,15.91,86.0,90.0,2.53
375,butembo,-0.1087123874560092,29.39415161224639,74.97,52.0,90.0,3.24
